Instances,SloppyGiuseppe,SauceTopping,Food,CheeseyVegetableTopping,Country,NonVegetarianPizza,OnionTopping,PizzaBase,PetitPoisTopping,AnchoviesTopping,RedOnionTopping,ThinAndCrispyPizza,GorgonzolaTopping,American,Caprina,Fiorentina,Spiciness,FishTopping,HotSpicedBeefTopping,MushroomTopping,ValuePartition,VegetarianPizza,PrinceCarlo,VegetarianTopping,HotGreenPepperTopping,HerbSpiceTopping,RealItalianPizza,Mushroom,SpinachTopping,FourSeasons,CaperTopping,GoatsCheeseTopping,SlicedTomatoTopping,PepperTopping,VegetableTopping,LeekTopping,AsparagusTopping,FourCheesesTopping,CajunSpiceTopping,DomainConcept,ParmesanTopping,ThinAndCrispyBase,Pizza,Capricciosa,Hot,Siciliana,IceCream,LaReine,RocketTopping,MeatTopping,Cajun,Giardiniera,VegetarianPizzaEquivalent2,SultanaTopping,AmericanHot,GreenPepperTopping,InterestingPizza,Napoletana,PeperoniSausageTopping,PrawnsTopping,PizzaTopping,Parmense,GarlicTopping,DeepPanBase,ParmaHamTopping,JalapenoPepperTopping,HamTopping,PeperonataTopping,Soho,TomatoTopping,Veneziana,PolloAdAstra,QuattroFormaggi,UnclosedPizza,MozzarellaTopping,OliveTopping,CheeseTopping,CheeseyPizza,Medium,ChickenTopping,SweetPepperTopping,ArtichokeTopping,SundriedTomatoTopping,SpicyTopping,VegetarianPizzaEquivalent1,NamedPizza,Mild,MixedSeafoodTopping,Rosa,NutTopping,SpicyPizzaEquivalent,PineKernels,TobascoPepperSauce,RosemaryTopping,Margherita,FruitTopping,MeatyPizza,SpicyPizza,FruttiDiMare
GarlicTopping_1,0.372959763,0.650497675,0.997446299,0.995056152,0.997878432,0.942486942,0.554147601,0.810315192,0.485212386,0.875157356,0.997405112,0.996566117,0.784677386,0.422754765,0.327583432,0.288695097,0.997067034,0.689787745,0.746004701,0.474667013,0.869488418,0.802348197,0.474666685,0.996968091,0.995055079,0.75261265,0.995708704,0.293761492,0.441664875,0.415626377,0.472005695,0.704450905,0.963429749,0.537999988,0.983964205,0.445633978,0.445273221,0.758608818,0.892631888,0.946215928,0.682993889,0.904960752,0.936041892,0.289355576,0.908709764,0.358901232,0.643594086,0.307815909,0.493163228,0.816145837,0.431119025,0.283716708,0.996057987,0.994971871,0.313928425,0.779111564,0.998003304,0.399494916,0.798588216,0.758832157,0.975555301,0.335955918,0.747944832,0.977991879,0.995871484,0.750392914,0.893632352,0.875266433,0.322763383,0.920791268,0.301402837,0.247303069,0.356429577,0.401392311,0.9930408,0.609429538,0.76665169,0.994931996,0.845008731,0.82230562,0.791016161,0.422882825,0.836153507,0.99509275,0.996487617,0.99701345,0.986520171,0.861038029,0.308250397,0.653409183,0.995759308,0.991481423,0.99490118,0.900875151,0.375607014,0.621164024,0.996972561,0.996050179,0.364375412
Cajun_1,0.353703529,0.647548914,0.997989058,0.996203959,0.998285472,0.947856009,0.559256494,0.803136349,0.511833131,0.895313263,0.997892201,0.997180939,0.799382508,0.360282123,0.32859388,0.264782637,0.997777045,0.679659545,0.759836853,0.473621666,0.889108419,0.826704621,0.512482643,0.997621,0.995957077,0.74363029,0.996711373,0.300489485,0.484230131,0.429398537,0.523479104,0.742780387,0.969414473,0.563616812,0.987210274,0.539746642,0.491362929,0.76622808,0.904013813,0.954828084,0.667934477,0.919359267,0.941022336,0.310089946,0.920143902,0.285348088,0.699434876,0.333117068,0.503038406,0.857362747,0.575878918,0.299059719,0.996753871,0.995942414,0.313613683,0.791579008,0.998389482,0.413393766,0.80654335,0.767250776,0.979803145,0.417069525,0.650190651,0.979662478,0.996668398,0.782410204,0.904922307,0.887480557,0.365138531,0.938039124,0.275387257,0.240231887,0.348098338,0.39871937,0.994409382,0.631301045,0.800130248,0.995815098,0.882353902,0.809772491,0.8005355,0.440467894,0.877265394,0.996193051,0.997097015,0.997599423,0.988613129,0.89374584,0.334365785,0.652367473,0.996581972,0.992985427,0.996198356,0.923412085,0.372908473,0.62593025,0.997569501,0.996941388,0.405406654
IceCream_1,0.399048299,0.667662442,0.99772948,0.995471478,0.998020411,0.94756037,0.593537807,0.807662904,0.588589966,0.884681106,0.997644603,0.996788144,0.800382495,0.392398328,0.379257023,0.341251105,0.997477233,0.701202095,0.809934258,0.509672105,0.907439947,0.823225141,0.518377125,0.997336924,0.995482802,0.735801101,0.996243477,0.312709749,0.523554265,0.369454712,0.52407223,0.704447091,0.966036201,0.607783973,0.985935688,0.527633429,0.532954693,0.778937817,0.89379555,0.950871885,0.731421828,0.916627288,0.938147187,0.37326473,0.918855846,0.356085181,0.76589793,0.397253901,0.463636816,0.827321053,0.409461498,0.358046055,0.996398926,0.995487034,0.318133354,0.79208988,0.998147249,0.397542953,0.765027225,0.7837286,0.978224099,0.484057933,0.594861746,0.979829907,0.996189773,0.783834517,0.901030838,0.871302187,0.415071726,0.93221879,0.352697223,0.270621419,0.389727354,0.477349401,0.993843317,0.603283942,0.809242547,0.995380878,0.871553898,0.784742594,0.785721362,0.501195133,0.86046803,0.99563098,0.996600807,0.997267842,0.987364948,0.877729833,0.33191058,0.643510699,0.996113658,0.992067337,0.995686591,0.908799469,0.364077419,0.641220689,0.997286677,0.996559799,0.353003353
RedOnionTopping_1,0.313413471,0.638017356,0.997941434,0.996001303,0.998202324,0.947473884,0.545719802,0.816436648,0.524855971,0.89494282,0.997861087,0.997142971,0.793082952,0.382116467,0.35438019,0.243497729,0.997724354,0.66781956,0.785701573,0.439545393,0.897648633,0.8260203,0.477325559,0.997588873,0.995897174,0.711066127,0.996641636,0.315956265,0.426906079,0.369390577,0.471946388,0.716318846,0.965304732,0.619198143,0.98654604,0.507126451,0.509682655,0.742628217,0.902222991,0.95624572,0.701438367,0.914782166,0.942444384,0.325380445,0.917233348,0.276798487,0.67659086,0.363029838,0.456736445,0.853046298,0.394032925,0.318106472,0.996729493,0.995906472,0.311820924,0.817764282,0.998351336,0.413005859,0.787724257,0.747292221,0.979925394,0.431717068,0.575263441,0.980553508,0.996589661,0.744925618,0.911462605,0.890260875,0.405320048,0.936358452,0.318625689,0.263472915,0.372131854,0.368759632,0.994264543,0.595745027,0.787522376,0.995806456,0.877356827,0.798113883,0.771119237,0.532799363,0.861826599,0.996103168,0.997057557,0.997457922,0.988874793,0.89518255,0.33736816,0.67417413,0.996463954,0.99292928,0.996098042,0.924069107,0.410394788,0.656450629,0.997540236,0.996895313,0.328249604
Veneziana_1,0.323922038,0.598260939,0.997686505,0.995573044,0.998073339,0.94430238,0.512738287,0.809544146,0.523908675,0.88862139,0.997637033,0.996903002,0.777393401,0.303302795,0.376143098,0.26080507,0.997318804,0.639669418,0.723593533,0.403042734,0.871876478,0.767047763,0.393581837,0.997238874,0.995529354,0.683971941,0.996174157,0.353971034,0.391088516,0.344118237,0.507495344,0.69911319,0.956222177,0.583658516,0.984594822,0.527349472,0.458529145,0.766522229,0.891699612,0.948240399,0.700621545,0.891580462,0.93752563,0.284100682,0.907993615,0.263274848,0.611165762,0.286359608,0.40956223,0.809978247,0.315536886,0.377591342,0.996382713,0.995420218,0.391293496,0.813460469,0.998157203,0.338503987,0.750741243,0.704858124,0.978087783,0.376850933,0.495404899,0.977783382,0.996324718,0.734126985,0.885943949,0.896688223,0.358731151,0.925851285,0.476637155,0.249443308,0.369791001,0.380795211,0.993144155,0.570878446,0.761906207,0.995317459,0.82498163,0.790391922,0.718278229,0.494631976,0.838676214,0.995400608,0.996880054,0.997212946,0.987347841,0.872195065,0.318746686,0.673038304,0.996249735,0.992305577,0.995355844,0.910348058,0.359732926,0.585599244,0.997176051,0.996275306,0.284350485
SultanaTopping_1,0.349737823,0.627155304,0.997824192,0.9956007,0.998113632,0.949702144,0.548004508,0.832547843,0.519264221,0.883995771,0.997755468,0.996985972,0.809184611,0.362902492,0.424679339,0.236267507,0.997585654,0.689974785,0.784916639,0.422743171,0.897521079,0.819841146,0.492515117,0.997483313,0.995700538,0.741344929,0.996384978,0.357548594,0.44862178,0.355445772,0.523113668,0.728579521,0.961615205,0.650324345,0.985675275,0.504536211,0.531387746,0.784866154,0.903851628,0.955713511,0.70065248,0.920721292,0.949584246,0.297074765,0.916855276,0.291062087,0.687201798,0.293542117,0.457292587,0.836094856,0.353544652,0.339889675,0.996568322,0.995704234,0.320747435,0.811511338,0.998247862,0.345537782,0.80595392,0.771815479,0.978636503,0.383142024,0.566322088,0.979779541,0.996375978,0.77011919,0.909063816,0.889182091,0.353614122,0.930889964,0.350900859,0.244224578,0.368357927,0.37854147,0.99420023,0.571168065,0.800277591,0.995599985,0.877435386,0.808732748,0.748846412,0.540866554,0.871494174,0.995859087,0.996761799,0.997355938,0.987823486,0.877823353,0.308341116,0.698679566,0.996278346,0.992553651,0.995787084,0.923200011,0.372051835,0.675319374,0.997485876,0.996727943,0.31668511
PrawnsTopping_1,0.371536851,0.659216702,0.99780184,0.995640635,0.998079181,0.944803715,0.587325156,0.801377058,0.566732705,0.883090079,0.99771452,0.996921599,0.782102823,0.440943003,0.384762853,0.259299487,0.997552216,0.721845329,0.75637877,0.487552851,0.884832919,0.806928098,0.432915866,0.997437358,0.995616794,0.734286189,0.996365666,0.319728673,0.462956965,0.347674727,0.50559783,0.739479542,0.964523137,0.592073739,0.985656142,0.569287777,0.484170198,0.775107861,0.895115316,0.951475203,0.720792651,0.92256552,0.943110645,0.38022846,0.911751926,0.301400483,0.664177716,0.308939397,0.48323831,0.822188616,0.394231707,0.370400161,0.996505737,0.995625973,0.303229123,0.821323872,0.998202205,0.371184438,0.8286888,0.810747266,0.979147017,0.407118648,0.599524975,0.979881048,0.996302724,0.743560314,0.897770882,0.888396859,0.411475211,0.936661363,0.342251211,0.272975028,0.358666271,0.363713741,0.993844271,0.571334779,0.779935002,0.995519996,0.878107488,0.792274952,0.783883274,0.507794857,0.833745122,0.9957605,0.996861339,0.997282028,0.988120198,0.883421302,0.343640655,0.669441581,0.996227264,0.992502093,0.995833218,0.914445281,0.443734735,0.637540638,0.997361362,0.996668398,0.305510938
SpicyPizza_1,0.309299439,0.653044522,0.997799098,0.995571077,0.9980703,0.9435305,0.574235857,0.804101586,0.528559864,0.885550261,0.997703969,0.996907294,0.774329007,0.395421773,0.334236413,0.237789914,0.997540832,0.698465586,0.753252983,0.45837453,0.87983942,0.805029929,0.452439189,0.997425377,0.995596349,0.724367857,0.996340811,0.286232144,0.438140661,0.350112051,0.472161263,0.719295979,0.962437153,0.567457139,0.98542726,0.484106719,0.465348065,0.741727948,0.895554602,0.951767445,0.705739737,0.910566449,0.940125346,0.331694752,0.909246504,0.278795868,0.662813604,0.315158188,0.415967792,0.830074847,0.370748669,0.294170737,0.996489465,0.995605648,0.292201191,0.818727493,0.9981938,0.373632818,0.786248684,0.777504385,0.978776395,0.39025566,0.59540844,0.979530513,0.996285558,0.759625494,0.903608501,0.886819065,0.371616244,0.932588279,0.310195714,0.244302437,0.363513798,0.324207872,0.993863702,0.588872612,0.776433051,0.99550122,0.870095134,0.78553021,0.786390185,0.486213237,0.834543467,0.995740771,0.996826947,0.997273862,0.988050044,0.882032037,0.307925999,0.663811803,0.996209741,0.992447376,0.995808125,0.909577966,0.376635224,0.61677587,0.997371435,0.996652901,0.292554647
SpicyTopping_1,0.336277395,0.62625283,0.997985959,0.995873511,0.998261869,0.950416207,0.550204039,0.812153041,0.536109388,0.89397794,0.9979195,0.997214258,0.792583525,0.386189461,0.36692521,0.269888759,0.997760296,0.69547987,0.774220228,0.435114712,0.899498045,0.808127403,0.490660816,0.997687459,0.996032774,0.695572674,0.996645749,0.311169237,0.464182317,0.368709177,0.47232154,0.724636257,0.967534482,0.583795369,0.986761689,0.527123809,0.479566216,0.759836137,0.89674449,0.953274071,0.690575957,0.915658355,0.943309605,0.32488355,0.919198573,0.291558892,0.672233462,0.341697454,0.451667041,0.831002176,0.395234823,0.317317873,0.996842146,0.996041179,0.297757804,0.819213271,0.99837327,0.3729873,0.795955777,0.764991999,0.980816424,0.424466133,0.562967896,0.981989264,0.996653795,0.744247437,0.907371104,0.89598006,0.408421606,0.934248626,0.320764482,0.281359226,0.359869182,0.387478679,0.994427681,0.616928697,0.779702127,0.995920062,0.880298197,0.783872008,0.764698386,0.511475682,0.847294748,0.996163011,0.997012973,0.997541308,0.988685131,0.881670117,0.357423753,0.649930298,0.996547401,0.993056655,0.996228695,0.914961755,0.389219791,0.642822742,0.997632384,0.996988118,0.327317029
ChickenTopping_1,0.345671326,0.632870853,0.997734904,0.995486557,0.998129308,0.943476081,0.579069734,0.830019414,0.480920911,0.89770174,0.997646749,0.996830404,0.802695692,0.398737103,0.406320632,0.2523458,0.997446299,0.702679276,0.762105763,0.469374686,0.880246997,0.805099428,0.483011365,0.997361362,0.995487034,0.752973318,0.996178508,0.363730073,0.474204272,0.405677289,0.505058706,0.735210359,0.961057961,0.616985798,0.985365748,0.501261115,0.51105994,0.777937114,0.90389514,0.95338285,0.68419224,0.916504979,0.942488253,0.29828462,0.912204623,0.274229169,0.638860762,0.31110841,0.462534845,0.839201331,0.413376838,0.350015581,0.996402264,0.995496631,0.360095263,0.796705186,0.998149514,0.385652125,0.809919596,0.779885113,0.979605079,0.39401567,0.641591072,0.978920877,0.99619329,0.781795979,0.899936259,0.89339155,0.337243736,0.933834791,0.330985755,0.303327531,0.431974858,0.380826682,0.993694723,0.640100121,0.788188159,0.995393395,0.872050583,0.858533084,0.784818053,0.505229115,0.855540037,0.99558419,0.996763229,0.997283816,0.987771392,0.879638255,0.351103812,0.69634372,0.996140301,0.992104769,0.995709777,0.924008429,0.394552261,0.642836452,0.99729389,0.996569633,0.317420751
